step,t,sample,metric,region,value,protocol
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.05557297542691231,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009747211821377277,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.028398191556334496,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.34023651480674744,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22050639986991882,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.269236296415329,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,9.851554870605469,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8591062426567078,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,4.519012451171875,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.05207251384854317,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009810800664126873,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.027011219412088394,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.344990074634552,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.21930354833602905,trajectory_cfg
6,0.9732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.2704576849937439,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,8.896188735961914,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8498753905296326,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,4.124706745147705,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.047684915363788605,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009630315005779266,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.025118449702858925,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.35512927174568176,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22071623802185059,trajectory_cfg
7,0.9683,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.27542200684547424,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,7.9758219718933105,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8489531874656677,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,3.74957275390625,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.04321570694446564,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009412319399416447,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.023170217871665955,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.34776169061660767,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.2190287560224533,trajectory_cfg
8,0.9631,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.27142277359962463,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,7.310518264770508,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8430887460708618,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,3.47531795501709,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.03993682563304901,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009498564526438713,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.02188686467707157,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3522303104400635,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.220916286110878,trajectory_cfg
9,0.9577,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.2743607759475708,trajectory_cfg
10,0.9522,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,6.6955742835998535,trajectory_cfg
