pair,model,experiment_id,step,sample,metric,region,value,value_norm,comparability
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90880978,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97036517,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94531232,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11259136,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.07063017,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,13.3774,1.0379008293958367,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.740993,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.002071,0.9736600652581369,face_value
nocfg_trajectory,omniavatar,omni_ta_nocfg,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.839918,1.0220190040164203,face_value
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00143745,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00012121,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00065692,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90916276,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97048646,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94552779,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11071856,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.06922895,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,4,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,13.6719,1.0607499476293556,normalized_only
