pair,model,experiment_id,step,sample,metric,region,value,value_norm,comparability
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,22.867,1.774162263653221,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.826414,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.966268,1.1300727624657674,face_value
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.789702,0.8851118692323436,face_value
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01085406,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00031544,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00460463,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.82247758,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95583266,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.90155745,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.14988083,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.09863664,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,23.4108,1.8163536065917183,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,3,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,9.333064,,normalized_only
